no change     /nfs/home/vpais/miniconda/condabin/conda
no change     /nfs/home/vpais/miniconda/bin/conda
no change     /nfs/home/vpais/miniconda/bin/conda-env
no change     /nfs/home/vpais/miniconda/bin/activate
no change     /nfs/home/vpais/miniconda/bin/deactivate
no change     /nfs/home/vpais/miniconda/etc/profile.d/conda.sh
no change     /nfs/home/vpais/miniconda/etc/fish/conf.d/conda.fish
no change     /nfs/home/vpais/miniconda/shell/condabin/Conda.psm1
no change     /nfs/home/vpais/miniconda/shell/condabin/conda-hook.ps1
no change     /nfs/home/vpais/miniconda/lib/python3.9/site-packages/xontrib/conda.xsh
no change     /nfs/home/vpais/miniconda/etc/profile.d/conda.csh
no change     /nfs/home/vpais/.bashrc
No action taken.
Using MPI version 3.1, 64 processes
Medium should be stable according to frequency and resolution criteria.
All resonant frequencies are small enough for this resolution.
Medium could be unstable according to dimensions and index criteria.
Maximum Courant factor should be 0.20893145279749673
As a whole, the simulation might be unstable
Recommended maximum Courant factor is 0.20893145279749673
-----------
Initializing structure...
Splitting into 64 chunks by voxels
time for choose_chunkdivision = 0.00625205 s
Working in 3D dimensions.
Computational cell is 61 x 61 x 61 with resolution 4
time for set_epsilon = 2.39975 s
-----------
Meep progress: 0.125/1225.375 = 0.0% done in 304.1s, 2980909.5s to go
on time step 1 (time=0.125), 304.112 s/step
Meep progress: 4.75/1225.375 = 0.4% done in 308.2s, 79193.7s to go
on time step 38 (time=4.75), 0.109847 s/step
Meep progress: 9.375/1225.375 = 0.8% done in 312.3s, 40504.3s to go
on time step 75 (time=9.375), 0.110742 s/step
Meep progress: 14.0/1225.375 = 1.1% done in 316.3s, 27371.5s to go
on time step 112 (time=14), 0.109681 s/step
Meep progress: 18.625/1225.375 = 1.5% done in 320.4s, 20759.1s to go
on time step 149 (time=18.625), 0.10972 s/step
Meep progress: 23.25/1225.375 = 1.9% done in 324.5s, 16775.6s to go
on time step 186 (time=23.25), 0.109606 s/step
Meep progress: 27.875/1225.375 = 2.3% done in 328.5s, 14112.6s to go
on time step 223 (time=27.875), 0.109589 s/step
Meep progress: 32.5/1225.375 = 2.7% done in 332.6s, 12206.2s to go
on time step 260 (time=32.5), 0.109496 s/step
Meep progress: 37.125/1225.375 = 3.0% done in 336.6s, 10774.0s to go
on time step 297 (time=37.125), 0.109573 s/step
Meep progress: 41.75/1225.375 = 3.4% done in 340.7s, 9658.1s to go
on time step 334 (time=41.75), 0.109555 s/step
Meep progress: 46.375/1225.375 = 3.8% done in 344.7s, 8764.4s to go
on time step 371 (time=46.375), 0.110044 s/step
Meep progress: 51.0/1225.375 = 4.2% done in 348.8s, 8031.9s to go
on time step 408 (time=51), 0.109796 s/step
Meep progress: 55.625/1225.375 = 4.5% done in 352.9s, 7420.3s to go
on time step 445 (time=55.625), 0.109426 s/step
Meep progress: 60.25/1225.375 = 4.9% done in 356.9s, 6901.6s to go
on time step 482 (time=60.25), 0.108983 s/step
Meep progress: 64.875/1225.375 = 5.3% done in 360.9s, 6456.7s to go
on time step 519 (time=64.875), 0.109711 s/step
Meep progress: 69.5/1225.375 = 5.7% done in 365.0s, 6070.9s to go
on time step 556 (time=69.5), 0.110165 s/step
Meep progress: 74.125/1225.375 = 6.0% done in 369.1s, 5732.2s to go
on time step 593 (time=74.125), 0.109401 s/step
Meep progress: 78.75/1225.375 = 6.4% done in 373.1s, 5432.8s to go
on time step 630 (time=78.75), 0.109461 s/step
Meep progress: 83.375/1225.375 = 6.8% done in 377.2s, 5166.4s to go
on time step 667 (time=83.375), 0.109709 s/step
Meep progress: 88.0/1225.375 = 7.2% done in 381.2s, 4927.4s to go
on time step 704 (time=88), 0.109476 s/step
Meep progress: 92.625/1225.375 = 7.6% done in 385.3s, 4711.9s to go
on time step 741 (time=92.625), 0.109506 s/step
Meep progress: 97.25/1225.375 = 7.9% done in 389.3s, 4516.4s to go
on time step 778 (time=97.25), 0.109364 s/step
Meep progress: 101.875/1225.375 = 8.3% done in 393.4s, 4338.3s to go
on time step 815 (time=101.875), 0.109354 s/step
Meep progress: 106.5/1225.375 = 8.7% done in 397.4s, 4175.4s to go
on time step 852 (time=106.5), 0.109485 s/step
Meep progress: 111.125/1225.375 = 9.1% done in 401.5s, 4025.8s to go
on time step 889 (time=111.125), 0.109638 s/step
Meep progress: 115.75/1225.375 = 9.4% done in 405.6s, 3887.8s to go
on time step 926 (time=115.75), 0.109739 s/step
Meep progress: 120.375/1225.375 = 9.8% done in 409.6s, 3760.0s to go
on time step 963 (time=120.375), 0.109416 s/step
Meep progress: 125.0/1225.375 = 10.2% done in 413.7s, 3641.4s to go
on time step 1000 (time=125), 0.109461 s/step
Meep progress: 129.625/1225.375 = 10.6% done in 417.7s, 3531.0s to go
on time step 1037 (time=129.625), 0.109545 s/step
Meep progress: 134.25/1225.375 = 11.0% done in 421.8s, 3428.0s to go
on time step 1074 (time=134.25), 0.109709 s/step
Meep progress: 138.875/1225.375 = 11.3% done in 425.8s, 3331.6s to go
on time step 1111 (time=138.875), 0.110142 s/step
Meep progress: 143.5/1225.375 = 11.7% done in 429.9s, 3241.1s to go
on time step 1148 (time=143.5), 0.109413 s/step
Meep progress: 148.125/1225.375 = 12.1% done in 434.0s, 3156.1s to go
on time step 1185 (time=148.125), 0.110285 s/step
Meep progress: 152.75/1225.375 = 12.5% done in 438.0s, 3075.9s to go
on time step 1222 (time=152.75), 0.109416 s/step
Meep progress: 157.25/1225.375 = 12.8% done in 442.0s, 3002.6s to go
on time step 1258 (time=157.25), 0.111519 s/step
Meep progress: 161.875/1225.375 = 13.2% done in 446.1s, 2930.8s to go
on time step 1295 (time=161.875), 0.109578 s/step
Meep progress: 166.5/1225.375 = 13.6% done in 450.1s, 2862.8s to go
on time step 1332 (time=166.5), 0.109539 s/step
Meep progress: 171.125/1225.375 = 14.0% done in 454.2s, 2798.3s to go
on time step 1369 (time=171.125), 0.110063 s/step
Meep progress: 175.75/1225.375 = 14.3% done in 458.3s, 2737.0s to go
on time step 1406 (time=175.75), 0.109567 s/step
Meep progress: 180.375/1225.375 = 14.7% done in 462.3s, 2678.5s to go
on time step 1443 (time=180.375), 0.109668 s/step
Meep progress: 185.0/1225.375 = 15.1% done in 466.4s, 2622.8s to go
on time step 1480 (time=185), 0.109636 s/step
Meep progress: 189.625/1225.375 = 15.5% done in 470.4s, 2569.6s to go
on time step 1517 (time=189.625), 0.109583 s/step
Meep progress: 194.25/1225.375 = 15.9% done in 474.5s, 2518.8s to go
on time step 1554 (time=194.25), 0.109661 s/step
Meep progress: 198.875/1225.375 = 16.2% done in 478.6s, 2470.1s to go
on time step 1591 (time=198.875), 0.109489 s/step
Meep progress: 203.5/1225.375 = 16.6% done in 482.6s, 2423.4s to go
on time step 1628 (time=203.5), 0.109411 s/step
Meep progress: 208.125/1225.375 = 17.0% done in 486.7s, 2378.8s to go
on time step 1665 (time=208.125), 0.110319 s/step
Meep progress: 212.75/1225.375 = 17.4% done in 490.7s, 2335.8s to go
on time step 1702 (time=212.75), 0.109527 s/step
Meep progress: 217.375/1225.375 = 17.7% done in 494.8s, 2294.5s to go
on time step 1739 (time=217.375), 0.109594 s/step
Meep progress: 222.0/1225.375 = 18.1% done in 498.8s, 2254.6s to go
on time step 1776 (time=222), 0.109113 s/step
Meep progress: 226.625/1225.375 = 18.5% done in 502.9s, 2216.3s to go
on time step 1813 (time=226.625), 0.109746 s/step
Meep progress: 231.25/1225.375 = 18.9% done in 507.0s, 2179.4s to go
on time step 1850 (time=231.25), 0.109577 s/step
Meep progress: 235.875/1225.375 = 19.2% done in 511.0s, 2143.7s to go
on time step 1887 (time=235.875), 0.109579 s/step
Meep progress: 240.5/1225.375 = 19.6% done in 515.1s, 2109.4s to go
on time step 1924 (time=240.5), 0.110298 s/step
Meep progress: 245.125/1225.375 = 20.0% done in 519.2s, 2076.1s to go
on time step 1961 (time=245.125), 0.10965 s/step
Meep progress: 249.75/1225.375 = 20.4% done in 523.2s, 2043.9s to go
on time step 1998 (time=249.75), 0.109607 s/step
Meep progress: 254.375/1225.375 = 20.8% done in 527.3s, 2012.7s to go
on time step 2035 (time=254.375), 0.109763 s/step
Meep progress: 259.0/1225.375 = 21.1% done in 531.3s, 1982.4s to go
on time step 2072 (time=259), 0.109428 s/step
Meep progress: 263.625/1225.375 = 21.5% done in 535.4s, 1953.1s to go
on time step 2109 (time=263.625), 0.109556 s/step
Meep progress: 268.25/1225.375 = 21.9% done in 539.4s, 1924.7s to go
on time step 2146 (time=268.25), 0.109835 s/step
Meep progress: 272.875/1225.375 = 22.3% done in 543.5s, 1897.1s to go
on time step 2183 (time=272.875), 0.109607 s/step
Meep progress: 277.5/1225.375 = 22.6% done in 547.6s, 1870.4s to go
on time step 2220 (time=277.5), 0.110251 s/step
Meep progress: 282.125/1225.375 = 23.0% done in 551.6s, 1844.3s to go
on time step 2257 (time=282.125), 0.109486 s/step
Meep progress: 286.75/1225.375 = 23.4% done in 555.7s, 1818.9s to go
on time step 2294 (time=286.75), 0.109698 s/step
Meep progress: 291.375/1225.375 = 23.8% done in 559.7s, 1794.3s to go
on time step 2331 (time=291.375), 0.109661 s/step
Meep progress: 296.0/1225.375 = 24.2% done in 563.8s, 1770.3s to go
on time step 2368 (time=296), 0.110043 s/step
Meep progress: 300.625/1225.375 = 24.5% done in 567.9s, 1746.8s to go
on time step 2405 (time=300.625), 0.109401 s/step
Meep progress: 305.25/1225.375 = 24.9% done in 571.9s, 1723.9s to go
on time step 2442 (time=305.25), 0.109326 s/step
Meep progress: 309.875/1225.375 = 25.3% done in 576.0s, 1701.7s to go
on time step 2479 (time=309.875), 0.109799 s/step
Meep progress: 314.5/1225.375 = 25.7% done in 580.0s, 1679.9s to go
on time step 2516 (time=314.5), 0.109457 s/step
Meep progress: 319.125/1225.375 = 26.0% done in 584.1s, 1658.7s to go
on time step 2553 (time=319.125), 0.109738 s/step
Meep progress: 323.75/1225.375 = 26.4% done in 588.1s, 1638.0s to go
on time step 2590 (time=323.75), 0.109687 s/step
Meep progress: 328.375/1225.375 = 26.8% done in 592.2s, 1617.7s to go
on time step 2627 (time=328.375), 0.109768 s/step
Meep progress: 333.0/1225.375 = 27.2% done in 596.3s, 1597.9s to go
on time step 2664 (time=333), 0.109669 s/step
Meep progress: 337.625/1225.375 = 27.6% done in 600.3s, 1578.4s to go
on time step 2701 (time=337.625), 0.109026 s/step
Meep progress: 342.125/1225.375 = 27.9% done in 604.3s, 1560.2s to go
on time step 2737 (time=342.125), 0.112264 s/step
Meep progress: 346.75/1225.375 = 28.3% done in 608.4s, 1541.6s to go
on time step 2774 (time=346.75), 0.109622 s/step
Meep progress: 351.375/1225.375 = 28.7% done in 612.5s, 1523.4s to go
on time step 2811 (time=351.375), 0.10952 s/step
Meep progress: 356.0/1225.375 = 29.1% done in 616.5s, 1505.5s to go
on time step 2848 (time=356), 0.109177 s/step
Meep progress: 360.625/1225.375 = 29.4% done in 620.6s, 1488.0s to go
on time step 2885 (time=360.625), 0.109733 s/step
Meep progress: 365.25/1225.375 = 29.8% done in 624.6s, 1470.9s to go
on time step 2922 (time=365.25), 0.109509 s/step
Meep progress: 369.875/1225.375 = 30.2% done in 628.7s, 1454.0s to go
on time step 2959 (time=369.875), 0.109399 s/step
Meep progress: 374.5/1225.375 = 30.6% done in 632.7s, 1437.6s to go
on time step 2996 (time=374.5), 0.110613 s/step
Meep progress: 379.125/1225.375 = 30.9% done in 636.8s, 1421.4s to go
on time step 3033 (time=379.125), 0.109562 s/step
Meep progress: 383.75/1225.375 = 31.3% done in 640.9s, 1405.5s to go
on time step 3070 (time=383.75), 0.109555 s/step
Meep progress: 388.375/1225.375 = 31.7% done in 644.9s, 1389.8s to go
on time step 3107 (time=388.375), 0.10924 s/step
Meep progress: 393.0/1225.375 = 32.1% done in 649.0s, 1374.5s to go
on time step 3144 (time=393), 0.109466 s/step
Meep progress: 397.625/1225.375 = 32.4% done in 653.0s, 1359.4s to go
on time step 3181 (time=397.625), 0.10955 s/step
Meep progress: 402.25/1225.375 = 32.8% done in 657.1s, 1344.5s to go
on time step 3218 (time=402.25), 0.109501 s/step
Meep progress: 406.875/1225.375 = 33.2% done in 661.1s, 1329.9s to go
on time step 3255 (time=406.875), 0.109449 s/step
Meep progress: 411.5/1225.375 = 33.6% done in 665.2s, 1315.6s to go
on time step 3292 (time=411.5), 0.109833 s/step
Meep progress: 416.125/1225.375 = 34.0% done in 669.2s, 1301.5s to go
on time step 3329 (time=416.125), 0.109619 s/step
Meep progress: 420.75/1225.375 = 34.3% done in 673.3s, 1287.6s to go
on time step 3366 (time=420.75), 0.109607 s/step
Meep progress: 425.375/1225.375 = 34.7% done in 677.3s, 1273.9s to go
on time step 3403 (time=425.375), 0.109456 s/step
Meep progress: 430.0/1225.375 = 35.1% done in 681.4s, 1260.4s to go
on time step 3440 (time=430), 0.10933 s/step
Meep progress: 434.625/1225.375 = 35.5% done in 685.4s, 1247.1s to go
on time step 3477 (time=434.625), 0.109624 s/step
Meep progress: 439.25/1225.375 = 35.8% done in 689.5s, 1234.0s to go
on time step 3514 (time=439.25), 0.109784 s/step
Meep progress: 443.875/1225.375 = 36.2% done in 693.6s, 1221.1s to go
on time step 3551 (time=443.875), 0.109749 s/step
Meep progress: 448.5/1225.375 = 36.6% done in 697.6s, 1208.4s to go
on time step 3588 (time=448.5), 0.109799 s/step
Meep progress: 453.125/1225.375 = 37.0% done in 701.7s, 1195.9s to go
on time step 3625 (time=453.125), 0.109768 s/step
Meep progress: 457.75/1225.375 = 37.4% done in 705.7s, 1183.5s to go
on time step 3662 (time=457.75), 0.109563 s/step
Meep progress: 462.375/1225.375 = 37.7% done in 709.8s, 1171.3s to go
on time step 3699 (time=462.375), 0.109521 s/step
Meep progress: 467.0/1225.375 = 38.1% done in 713.9s, 1159.3s to go
on time step 3736 (time=467), 0.109863 s/step
Meep progress: 471.625/1225.375 = 38.5% done in 717.9s, 1147.4s to go
on time step 3773 (time=471.625), 0.109844 s/step
Meep progress: 476.25/1225.375 = 38.9% done in 722.0s, 1135.7s to go
on time step 3810 (time=476.25), 0.11003 s/step
Meep progress: 480.875/1225.375 = 39.2% done in 726.1s, 1124.1s to go
on time step 3847 (time=480.875), 0.109976 s/step
Meep progress: 485.5/1225.375 = 39.6% done in 730.1s, 1112.6s to go
on time step 3884 (time=485.5), 0.109028 s/step
Meep progress: 490.125/1225.375 = 40.0% done in 734.2s, 1101.4s to go
on time step 3921 (time=490.125), 0.109825 s/step
Meep progress: 494.75/1225.375 = 40.4% done in 738.2s, 1090.2s to go
on time step 3958 (time=494.75), 0.109703 s/step
Meep progress: 499.375/1225.375 = 40.8% done in 742.3s, 1079.1s to go
on time step 3995 (time=499.375), 0.109286 s/step
Meep progress: 504.0/1225.375 = 41.1% done in 746.3s, 1068.2s to go
on time step 4032 (time=504), 0.109301 s/step
Meep progress: 508.625/1225.375 = 41.5% done in 750.4s, 1057.4s to go
on time step 4069 (time=508.625), 0.109977 s/step
Meep progress: 513.25/1225.375 = 41.9% done in 754.4s, 1046.8s to go
on time step 4106 (time=513.25), 0.109669 s/step
Meep progress: 517.875/1225.375 = 42.3% done in 758.5s, 1036.2s to go
on time step 4143 (time=517.875), 0.109523 s/step
