no change     /nfs/home/vpais/miniconda/condabin/conda
no change     /nfs/home/vpais/miniconda/bin/conda
no change     /nfs/home/vpais/miniconda/bin/conda-env
no change     /nfs/home/vpais/miniconda/bin/activate
no change     /nfs/home/vpais/miniconda/bin/deactivate
no change     /nfs/home/vpais/miniconda/etc/profile.d/conda.sh
no change     /nfs/home/vpais/miniconda/etc/fish/conf.d/conda.fish
no change     /nfs/home/vpais/miniconda/shell/condabin/Conda.psm1
no change     /nfs/home/vpais/miniconda/shell/condabin/conda-hook.ps1
no change     /nfs/home/vpais/miniconda/lib/python3.9/site-packages/xontrib/conda.xsh
no change     /nfs/home/vpais/miniconda/etc/profile.d/conda.csh
no change     /nfs/home/vpais/.bashrc
No action taken.
Using MPI version 3.1, 8 processes
Medium should be stable according to frequency and resolution criteria.
All resonant frequencies are small enough for this resolution.
Medium could be unstable according to dimensions and index criteria.
Maximum Courant factor should be 0.20893145279749673
As a whole, the simulation could not be stable
Recommended maximum courant factor is 0.20893145279749673
-----------
Initializing structure...
Splitting into 8 chunks by voxels
time for choose_chunkdivision = 0.00295615 s
Working in 3D dimensions.
Computational cell is 60.75 x 60.75 x 60.75 with resolution 8
subpixel-averaging is 53.359% done, 3.49718 s remaining
subpixel-averaging is 52.6687% done, 3.59491 s remaining
subpixel-averaging is 53.8084% done, 3.43418 s remaining
time for set_epsilon = 54.0584 s
-----------
Meep progress: 0.0625/1224.9 = 0.0% done in 220.0s, 4311409.0s to go
on time step 1 (time=0.0625), 219.999 s/step
Meep progress: 0.25/1224.9 = 0.0% done in 224.0s, 1097415.9s to go
on time step 4 (time=0.25), 1.34243 s/step
Meep progress: 0.4375/1224.9 = 0.0% done in 228.1s, 638270.2s to go
on time step 7 (time=0.4375), 1.3424 s/step
Meep progress: 0.625/1224.9 = 0.1% done in 232.1s, 454605.9s to go
on time step 10 (time=0.625), 1.34179 s/step
Meep progress: 0.8125/1224.9 = 0.1% done in 236.1s, 355712.6s to go
on time step 13 (time=0.8125), 1.34283 s/step
Meep progress: 1.0/1224.9 = 0.1% done in 240.2s, 294041.8s to go
on time step 16 (time=1), 1.38069 s/step
Meep progress: 1.1875/1224.9 = 0.1% done in 244.3s, 251723.6s to go
on time step 19 (time=1.1875), 1.34151 s/step
Meep progress: 1.375/1224.9 = 0.1% done in 248.3s, 220950.0s to go
on time step 22 (time=1.375), 1.3432 s/step
Meep progress: 1.5625/1224.9 = 0.1% done in 252.3s, 197563.9s to go
on time step 25 (time=1.5625), 1.34432 s/step
Meep progress: 1.75/1224.9 = 0.1% done in 256.4s, 179181.5s to go
on time step 28 (time=1.75), 1.34114 s/step
Meep progress: 1.9375/1224.9 = 0.2% done in 260.4s, 164358.1s to go
on time step 31 (time=1.9375), 1.34216 s/step
Meep progress: 2.125/1224.9 = 0.2% done in 264.4s, 152155.5s to go
on time step 34 (time=2.125), 1.34543 s/step
Meep progress: 2.3125/1224.9 = 0.2% done in 268.5s, 141928.6s to go
on time step 37 (time=2.3125), 1.34385 s/step
Meep progress: 2.5/1224.9 = 0.2% done in 272.5s, 133232.9s to go
on time step 40 (time=2.5), 1.34229 s/step
Meep progress: 2.6875/1224.9 = 0.2% done in 276.5s, 125749.1s to go
on time step 43 (time=2.6875), 1.34173 s/step
Meep progress: 2.875/1224.9 = 0.2% done in 280.6s, 119257.1s to go
on time step 46 (time=2.875), 1.35438 s/step
Meep progress: 3.0625/1224.9 = 0.3% done in 284.6s, 113541.0s to go
on time step 49 (time=3.0625), 1.33882 s/step
Meep progress: 3.25/1224.9 = 0.3% done in 288.6s, 108486.5s to go
on time step 52 (time=3.25), 1.34109 s/step
Meep progress: 3.4375/1224.9 = 0.3% done in 292.6s, 103982.1s to go
on time step 55 (time=3.4375), 1.3403 s/step
Meep progress: 3.625/1224.9 = 0.3% done in 296.7s, 99944.3s to go
on time step 58 (time=3.625), 1.34133 s/step
Meep progress: 3.8125/1224.9 = 0.3% done in 300.7s, 96325.2s to go
on time step 61 (time=3.8125), 1.36417 s/step
Meep progress: 4.0/1224.9 = 0.3% done in 304.8s, 93026.2s to go
on time step 64 (time=4), 1.34367 s/step
Meep progress: 4.1875/1224.9 = 0.3% done in 308.8s, 90020.9s to go
on time step 67 (time=4.1875), 1.34198 s/step
Meep progress: 4.375/1224.9 = 0.4% done in 312.8s, 87270.2s to go
on time step 70 (time=4.375), 1.33894 s/step
Meep progress: 4.5625/1224.9 = 0.4% done in 316.8s, 84743.4s to go
on time step 73 (time=4.5625), 1.3365 s/step
Meep progress: 4.75/1224.9 = 0.4% done in 320.8s, 82416.2s to go
on time step 76 (time=4.75), 1.33722 s/step
Meep progress: 4.9375/1224.9 = 0.4% done in 324.9s, 80266.8s to go
on time step 79 (time=4.9375), 1.33892 s/step
Meep progress: 5.125/1224.9 = 0.4% done in 328.9s, 78274.4s to go
on time step 82 (time=5.125), 1.33907 s/step
Meep progress: 5.3125/1224.9 = 0.4% done in 332.9s, 76424.5s to go
on time step 85 (time=5.3125), 1.34199 s/step
Meep progress: 5.5/1224.9 = 0.4% done in 336.9s, 74697.0s to go
on time step 88 (time=5.5), 1.33694 s/step
Meep progress: 5.6875/1224.9 = 0.5% done in 340.9s, 73085.0s to go
on time step 91 (time=5.6875), 1.33983 s/step
Meep progress: 5.875/1224.9 = 0.5% done in 345.0s, 71577.2s to go
on time step 94 (time=5.875), 1.34223 s/step
Meep progress: 6.0625/1224.9 = 0.5% done in 349.0s, 70162.4s to go
on time step 97 (time=6.0625), 1.34236 s/step
Meep progress: 6.25/1224.9 = 0.5% done in 353.0s, 68832.9s to go
on time step 100 (time=6.25), 1.34343 s/step
Meep progress: 6.4375/1224.9 = 0.5% done in 357.1s, 67582.4s to go
on time step 103 (time=6.4375), 1.34649 s/step
Meep progress: 6.625/1224.9 = 0.5% done in 361.4s, 66450.5s to go
on time step 106 (time=6.625), 1.43368 s/step
Meep progress: 6.8125/1224.9 = 0.6% done in 365.4s, 65333.5s to go
on time step 109 (time=6.8125), 1.34562 s/step
Meep progress: 7.0/1224.9 = 0.6% done in 369.4s, 64275.2s to go
on time step 112 (time=7), 1.344 s/step
Meep progress: 7.1875/1224.9 = 0.6% done in 373.5s, 63271.6s to go
on time step 115 (time=7.1875), 1.34327 s/step
Meep progress: 7.375/1224.9 = 0.6% done in 377.5s, 62317.1s to go
on time step 118 (time=7.375), 1.33991 s/step
Meep progress: 7.5625/1224.9 = 0.6% done in 381.6s, 61426.4s to go
on time step 121 (time=7.5625), 1.37451 s/step
Meep progress: 7.75/1224.9 = 0.6% done in 385.6s, 60562.5s to go
on time step 124 (time=7.75), 1.34012 s/step
Meep progress: 7.9375/1224.9 = 0.6% done in 389.6s, 59739.5s to go
on time step 127 (time=7.9375), 1.34084 s/step
Meep progress: 8.125/1224.9 = 0.7% done in 393.7s, 58953.7s to go
on time step 130 (time=8.125), 1.33948 s/step
Meep progress: 8.3125/1224.9 = 0.7% done in 397.7s, 58205.3s to go
on time step 133 (time=8.3125), 1.34429 s/step
Meep progress: 8.5/1224.9 = 0.7% done in 401.7s, 57487.4s to go
on time step 136 (time=8.5), 1.33875 s/step
Meep progress: 8.6875/1224.9 = 0.7% done in 405.7s, 56802.3s to go
on time step 139 (time=8.6875), 1.34365 s/step
Meep progress: 8.875/1224.9 = 0.7% done in 409.8s, 56148.4s to go
on time step 142 (time=8.875), 1.34961 s/step
Meep progress: 9.0625/1224.9 = 0.7% done in 413.9s, 55526.6s to go
on time step 145 (time=9.0625), 1.36241 s/step
Meep progress: 9.25/1224.9 = 0.8% done in 417.9s, 54924.0s to go
on time step 148 (time=9.25), 1.34763 s/step
Meep progress: 9.4375/1224.9 = 0.8% done in 423.7s, 54566.9s to go
on time step 151 (time=9.4375), 1.92141 s/step
Meep progress: 9.5625/1224.9 = 0.8% done in 428.6s, 54472.7s to go
on time step 153 (time=9.5625), 2.4575 s/step
Meep progress: 9.6875/1224.9 = 0.8% done in 433.5s, 54380.9s to go
on time step 155 (time=9.6875), 2.45747 s/step
Meep progress: 9.8125/1224.9 = 0.8% done in 438.4s, 54291.2s to go
on time step 157 (time=9.8125), 2.45727 s/step
Meep progress: 9.9375/1224.9 = 0.8% done in 443.3s, 54203.7s to go
on time step 159 (time=9.9375), 2.45772 s/step
Meep progress: 10.0625/1224.9 = 0.8% done in 448.3s, 54118.4s to go
on time step 161 (time=10.0625), 2.45788 s/step
Meep progress: 10.1875/1224.9 = 0.8% done in 453.4s, 54064.3s to go
on time step 163 (time=10.1875), 2.58062 s/step
Meep progress: 10.3125/1224.9 = 0.8% done in 458.3s, 53982.2s to go
on time step 165 (time=10.3125), 2.45712 s/step
Meep progress: 10.4375/1224.9 = 0.9% done in 463.3s, 53902.2s to go
on time step 167 (time=10.4375), 2.45761 s/step
Meep progress: 10.5625/1224.9 = 0.9% done in 468.2s, 53823.9s to go
on time step 169 (time=10.5625), 2.4575 s/step
Meep progress: 10.6875/1224.9 = 0.9% done in 473.1s, 53747.2s to go
on time step 171 (time=10.6875), 2.45726 s/step
Meep progress: 10.8125/1224.9 = 0.9% done in 478.0s, 53672.7s to go
on time step 173 (time=10.8125), 2.45936 s/step
Meep progress: 10.9375/1224.9 = 0.9% done in 482.9s, 53599.5s to go
on time step 175 (time=10.9375), 2.45796 s/step
Meep progress: 11.0625/1224.9 = 0.9% done in 487.8s, 53527.5s to go
on time step 177 (time=11.0625), 2.45687 s/step
Meep progress: 11.1875/1224.9 = 0.9% done in 492.7s, 53457.3s to go
on time step 179 (time=11.1875), 2.45791 s/step
Meep progress: 11.3125/1224.9 = 0.9% done in 497.7s, 53388.4s to go
on time step 181 (time=11.3125), 2.45688 s/step
Meep progress: 11.4375/1224.9 = 0.9% done in 502.6s, 53320.9s to go
on time step 183 (time=11.4375), 2.45769 s/step
Meep progress: 11.5625/1224.9 = 0.9% done in 507.5s, 53255.2s to go
on time step 185 (time=11.5625), 2.45902 s/step
Meep progress: 11.6875/1224.9 = 1.0% done in 512.4s, 53190.4s to go
on time step 187 (time=11.6875), 2.45787 s/step
Meep progress: 11.8125/1224.9 = 1.0% done in 517.3s, 53126.8s to go
on time step 189 (time=11.8125), 2.45719 s/step
Meep progress: 11.9375/1224.9 = 1.0% done in 522.2s, 53064.6s to go
on time step 191 (time=11.9375), 2.45752 s/step
Meep progress: 12.0625/1224.9 = 1.0% done in 527.2s, 53003.4s to go
on time step 193 (time=12.0625), 2.45731 s/step
Meep progress: 12.1875/1224.9 = 1.0% done in 532.1s, 52943.3s to go
on time step 195 (time=12.1875), 2.45702 s/step
Meep progress: 12.3125/1224.9 = 1.0% done in 537.0s, 52884.7s to go
on time step 197 (time=12.3125), 2.45872 s/step
Meep progress: 12.4375/1224.9 = 1.0% done in 541.9s, 52827.3s to go
on time step 199 (time=12.4375), 2.45922 s/step
Meep progress: 12.5625/1224.9 = 1.0% done in 546.8s, 52770.5s to go
on time step 201 (time=12.5625), 2.45684 s/step
Meep progress: 12.6875/1224.9 = 1.0% done in 551.7s, 52714.9s to go
on time step 203 (time=12.6875), 2.45801 s/step
Meep progress: 12.8125/1224.9 = 1.0% done in 556.6s, 52660.2s to go
on time step 205 (time=12.8125), 2.45734 s/step
Meep progress: 12.9375/1224.9 = 1.1% done in 561.6s, 52606.3s to go
on time step 207 (time=12.9375), 2.45705 s/step
Meep progress: 13.0625/1224.9 = 1.1% done in 566.5s, 52553.9s to go
on time step 209 (time=13.0625), 2.45943 s/step
Meep progress: 13.1875/1224.9 = 1.1% done in 571.4s, 52502.0s to go
on time step 211 (time=13.1875), 2.45773 s/step
Meep progress: 13.3125/1224.9 = 1.1% done in 576.3s, 52450.9s to go
on time step 213 (time=13.3125), 2.45666 s/step
Meep progress: 13.4375/1224.9 = 1.1% done in 581.2s, 52401.3s to go
on time step 215 (time=13.4375), 2.46055 s/step
Meep progress: 13.5625/1224.9 = 1.1% done in 586.2s, 52352.5s to go
on time step 217 (time=13.5625), 2.46043 s/step
Meep progress: 13.6875/1224.9 = 1.1% done in 591.1s, 52304.4s to go
on time step 219 (time=13.6875), 2.46019 s/step
Meep progress: 13.8125/1224.9 = 1.1% done in 596.0s, 52257.2s to go
on time step 221 (time=13.8125), 2.46048 s/step
Meep progress: 13.9375/1224.9 = 1.1% done in 600.9s, 52210.7s to go
on time step 223 (time=13.9375), 2.46006 s/step
Meep progress: 14.0625/1224.9 = 1.1% done in 605.8s, 52164.9s to go
on time step 225 (time=14.0625), 2.4602 s/step
Meep progress: 14.1875/1224.9 = 1.2% done in 610.8s, 52119.9s to go
on time step 227 (time=14.1875), 2.46036 s/step
Meep progress: 14.3125/1224.9 = 1.2% done in 615.7s, 52075.5s to go
on time step 229 (time=14.3125), 2.45981 s/step
Meep progress: 14.4375/1224.9 = 1.2% done in 620.6s, 52031.8s to go
on time step 231 (time=14.4375), 2.46023 s/step
Meep progress: 14.5625/1224.9 = 1.2% done in 625.5s, 51988.9s to go
on time step 233 (time=14.5625), 2.4607 s/step
Meep progress: 14.6875/1224.9 = 1.2% done in 630.4s, 51946.8s to go
on time step 235 (time=14.6875), 2.46185 s/step
Meep progress: 14.8125/1224.9 = 1.2% done in 635.4s, 51905.3s to go
on time step 237 (time=14.8125), 2.46111 s/step
Meep progress: 14.9375/1224.9 = 1.2% done in 640.3s, 51864.1s to go
on time step 239 (time=14.9375), 2.45993 s/step
Meep progress: 15.0625/1224.9 = 1.2% done in 645.2s, 51823.6s to go
on time step 241 (time=15.0625), 2.45977 s/step
Meep progress: 15.1875/1224.9 = 1.2% done in 650.1s, 51783.6s to go
on time step 243 (time=15.1875), 2.46013 s/step
Meep progress: 15.3125/1224.9 = 1.3% done in 655.0s, 51744.2s to go
on time step 245 (time=15.3125), 2.45986 s/step
Meep progress: 15.4375/1224.9 = 1.3% done in 660.0s, 51705.7s to go
on time step 247 (time=15.4375), 2.4618 s/step
Meep progress: 15.5625/1224.9 = 1.3% done in 664.9s, 51667.5s to go
on time step 249 (time=15.5625), 2.46061 s/step
Meep progress: 15.6875/1224.9 = 1.3% done in 669.8s, 51629.8s to go
on time step 251 (time=15.6875), 2.46001 s/step
Meep progress: 15.8125/1224.9 = 1.3% done in 674.7s, 51592.6s to go
on time step 253 (time=15.8125), 2.46033 s/step
Meep progress: 15.9375/1224.9 = 1.3% done in 679.7s, 51555.9s to go
on time step 255 (time=15.9375), 2.4603 s/step
Meep progress: 16.0625/1224.9 = 1.3% done in 684.6s, 51519.7s to go
on time step 257 (time=16.0625), 2.46038 s/step
Meep progress: 16.1875/1224.9 = 1.3% done in 689.5s, 51484.2s to go
on time step 259 (time=16.1875), 2.4614 s/step
Meep progress: 16.3125/1224.9 = 1.3% done in 694.4s, 51449.1s to go
on time step 261 (time=16.3125), 2.46103 s/step
Meep progress: 16.4375/1224.9 = 1.3% done in 699.3s, 51414.3s to go
on time step 263 (time=16.4375), 2.46001 s/step
Meep progress: 16.5625/1224.9 = 1.4% done in 704.3s, 51380.0s to go
on time step 265 (time=16.5625), 2.46033 s/step
Meep progress: 16.6875/1224.9 = 1.4% done in 709.2s, 51346.1s to go
on time step 267 (time=16.6875), 2.4601 s/step
Meep progress: 16.8125/1224.9 = 1.4% done in 714.1s, 51312.6s to go
on time step 269 (time=16.8125), 2.46023 s/step
